chr_id	gene_id	treatment	control
1	AT1G17460	2.594061916	3.829071663
1	AT1G17520	11.61271688	7.796481673
1	AT1G17590	1.10063367	1.002796437
1	AT1G17920	0.657380216	1.568131962
1	AT1G17950	0.094908517	0.057078138
1	AT1G18330	12.69851782	8.795011513
1	AT1G18400	3.102546652	2.875411624
1	AT1G18570	7.463570292	39.18688939
1	AT1G18710	0.026850902	3.108740871
1	AT1G18750	4.080420372	2.282031988
1	AT1G18835	0	0.086338236
1	AT1G18860	0.382152253	0.009207787
1	AT1G18960	0.059954216	0.040729546
1	AT1G19000	106.8061987	83.03461183
1	AT1G19040	0	0.023784471
1	AT1G19210	0.333867209	0.401992144
1	AT1G19220	3.975207993	4.169978693
1	AT1G19350	26.82173305	17.77625981
1	AT1G19490	4.985925396	0.717364585
1	AT1G19510	5.646750887	5.908565732
1	AT1G19700	14.9538207	6.560806838
1	AT1G19790	0.026119524	0.024544735
1	AT1G19850	2.308031123	3.043899355
1	AT1G20600	0	0.030309437
1	AT1G20640	6.886865867	5.547517969
1	AT1G20700	0.059679007	0.015846137
1	AT1G20710	0	0.024784826
1	AT1G20980	35.45431304	31.49476718
1	AT1G21200	7.742272366	5.586684429
1	AT1G21450	26.42514471	16.77582655
1	AT1G21910	2.602372291	115.7256206
1	AT1G22070	46.41220341	52.30065864
1	AT1G22130	0.014830286	0.168916943
1	AT1G22190	23.07350264	96.25553764
1	AT1G22490	1.849825986	2.834896605
1	AT1G22590	4.485343233	16.21943589
1	AT1G22640	8.818078242	14.99769979
1	AT1G22810	0.01861596	0.182431063
1	AT1G22985	5.983387967	5.197243507
1	AT1G23380	0.168248012	0.161295293
1	AT1G24260	4.649972549	27.97330254
1	AT1G24590	0	0.015985002
1	AT1G24625	25.53731632	29.56397309
1	AT1G25250	1.960336202	12.80372606
1	AT1G25330	0	0.013444104
1	AT1G25340	0.007723948	0.012693204
1	AT1G25440	249.6125551	251.1269577
1	AT1G25470	5.089327115	3.196946753
1	AT1G25550	46.79695113	114.1774599
1	AT1G25560	65.8821021	67.23541583
1	AT1G25580	9.595753272	6.544984665
1	AT1G26260	1.324531229	1.798248082
1	AT1G26310	0	0.02487007
1	AT1G26590	0.055333627	0.177459026
1	AT1G26610	0.151219193	0.176875834
1	AT1G26790	1.128063551	0.04240421
1	AT1G26870	0.011755148	0
1	AT1G26945	4.521406411	12.78556982
1	AT1G26960	7.651461344	6.438827161
1	AT1G27045	1.875096466	1.062152039
1	AT1G27360	4.921863345	2.185483252
1	AT1G27370	2.86397592	1.260513645
1	AT1G27660	3.789502426	4.940470264
1	AT1G27730	28.38142241	225.3395949
1	AT1G28050	5.866978089	28.19996788
1	AT1G28300	0.022814092	0.030685631
1	AT1G28310	4.80568763	4.499216109
1	AT1G28360	0.108893632	0.109938266
1	AT1G28370	3.820021595	26.51813205
1	AT1G28420	13.18496283	11.0043618
1	AT1G28470	0.475447349	0.350485672
1	AT1G28520	19.25267364	13.3762146
1	AT1G29160	2.19430157	1.415379888
1	AT1G29280	0.14486294	0.857529724
1	AT1G29560	1.408445134	1.322067823
1	AT1G29600	11.63375409	10.9036861
1	AT1G29860	0.196602158	0.044976131
1	AT1G29950	9.427855565	11.34145904
1	AT1G29962	0.029469152	0.024141563
1	AT1G30210	13.28108916	15.90691349
1	AT1G30330	6.33387211	7.083453304
1	AT1G30490	16.32360312	9.391331755
1	AT1G30500	11.82295982	7.109041068
1	AT1G30970	13.40211793	9.100985847
1	AT1G31050	0.060172549	0.192518681
1	AT1G31140	0	0.009259237
1	AT1G31310	0.01015073	0
1	AT1G31320	0.666833775	0.887587882
1	AT1G32150	9.249028549	10.00350016
1	AT1G32240	7.833616152	3.665117819
1	AT1G32330	6.859608469	5.173382823
1	AT1G32360	16.84891089	23.59843613
1	AT1G32510	0	0.017279562
1	AT1G32540	3.354886976	8.089025982
1	AT1G32640	82.42245981	94.084064
1	AT1G32730	2.596653678	1.933002291
1	AT1G32770	0	0.06044685
1	AT1G32870	6.030681138	4.038312952
1	AT1G33060	5.613679766	3.257692824
1	AT1G33240	41.43553357	46.67500507
1	AT1G33760	0.263830659	52.19343668
1	AT1G34180	2.401728517	1.032290472
1	AT1G34190	39.88353464	26.99215089
1	AT1G34310	0.00843046	0.029605565
1	AT1G34370	10.59710534	9.27032688
1	AT1G34650	0	0.036812322
1	AT1G35460	26.74997831	15.85361877
1	AT1G35515	0.869550291	0.331220943
1	AT1G35560	37.32018422	10.38309614
1	AT1G36060	0.321324029	0.073642317
1	AT1G42990	56.20232884	57.92021112
1	AT1G43160	10.49872534	0.029606576
1	AT1G43700	38.22174157	29.91076044
1	AT1G44810	23.25348584	14.78723608
1	AT1G44830	0.14605772	0.20806269
1	AT1G45249	6.352769217	5.215733885
1	AT1G46264	1.534385495	2.637247775
1	AT1G46480	1.115734042	3.563161503
1	AT1G46768	5.205428912	3.165061102
1	AT1G47655	1.536180967	1.885260986
1	AT1G47760	0.389199899	0.09528191
1	AT1G47870	3.004844868	2.881275533
1	AT1G48000	16.76613589	0.436307734
1	AT1G49010	21.62300406	21.9568858
1	AT1G49120	0	0.012468829
1	AT1G49130	2.449095363	8.410560023
1	AT1G49475	1.035493857	1.748497489
1	AT1G49480	34.52720874	31.82485803
1	AT1G49560	5.222875452	15.37567647
1	AT1G49720	8.053922635	14.24521132
1	AT1G49950	9.684415186	8.501668976
1	AT1G50420	15.718262	2.952619219
1	AT1G50600	36.74842767	36.07641042
1	AT1G50640	41.60456579	45.12035492
1	AT1G51070	20.51121142	20.06121946
1	AT1G51140	39.30626084	40.24636432
1	AT1G51600	5.213370604	4.468610058
1	AT1G51700	26.05281665	63.84986317
1	AT1G52150	4.203487342	3.281188552
1	AT1G52520	3.636202392	2.506283596
1	AT1G52880	23.16765718	20.42147753
1	AT1G52890	49.03626159	16.45776766
1	AT1G53160	6.042118372	13.25579084
1	AT1G53170	12.43800558	15.07611808
1	AT1G53230	2.907236582	3.164176359
1	AT1G53910	20.68070305	20.97827757
1	AT1G54060	18.73989747	15.37108444
1	AT1G54160	6.34180853	2.735644779
1	AT1G54330	0.150488174	0.143147336
1	AT1G54760	0.030911687	0
1	AT1G54830	8.11907144	9.475742447
1	AT1G55110	24.39793167	20.94388516
1	AT1G55580	0	0.029638499
1	AT1G55600	0	0.010069895
1	AT1G55950	0.051416448	0.088248875
1	AT1G56010	19.90564227	6.457906468
1	AT1G56160	0.043587272	0
1	AT1G56170	7.966937371	2.894471535
1	AT1G56650	31.67625307	13.8236103
1	AT1G57560	2.330929725	0.539836809
1	AT1G58100	7.18286466	6.650889074
1	AT1G58110	16.3781922	8.148829865
1	AT1G58220	6.575074473	6.146406871
1	AT1G59640	2.353545792	1.657876401
1	AT1G59750	7.220962274	6.15579605
1	AT1G59810	0	0.051838686
1	AT1G60920	0.057096481	0.023387139
1	AT1G61110	0.061725926	0
1	AT1G61660	9.107516304	12.58055035
1	AT1G61730	16.87635074	15.25554656
1	AT1G62300	4.838381911	4.386941364
1	AT1G62700	0.229397588	0.569402369
1	AT1G62975	2.39310186	0.606006665
1	AT1G62990	0.767880111	1.239232201
1	AT1G63100	0.617668983	0.858926364
1	AT1G63650	0.047734185	0.16461999
1	AT1G63910	0.0415289	0.055164785
1	AT1G64100	0.071680313	0.068460032
1	AT1G64105	12.01149357	11.91629679
1	AT1G64380	0.500356705	5.377470853
1	AT1G64530	9.824728793	3.001577819
1	AT1G64620	5.605620304	5.336965652
1	AT1G65300	0	0.03218875
1	AT1G65330	0.057036492	0.913849479
1	AT1G65360	0.702645865	0.082799351
1	AT1G65620	0.199145419	0.168885525
1	AT1G65910	0.503171435	0.713071124
1	AT1G66140	14.16566479	13.89793639
1	AT1G66230	7.182479848	9.567213904
1	AT1G66350	3.640185969	13.0521573
1	AT1G66370	0.443826901	0
1	AT1G66380	1.072573996	0.090855412
1	AT1G66390	2.534944801	1.064676357
1	AT1G66420	0	0.029079247
1	AT1G66550	0.020554733	0.007715088
1	AT1G66560	0.021925049	0
1	AT1G66600	2.204382608	0.016017826
1	AT1G66810	1.021726586	2.030518086
1	AT1G67100	0.015698098	0
1	AT1G67260	1.451175601	0.089612017
1	AT1G67310	22.19975627	16.58359357
1	AT1G67710	0.744648088	1.517369644
1	AT1G67970	18.70963453	44.49624532
1	AT1G68120	0.260772192	0.341857637
1	AT1G68130	4.008018769	2.810609958
1	AT1G68150	0.026781412	0.021022095
1	AT1G68200	0.385184748	0.230580909
1	AT1G68240	0.171829468	0.077155048
1	AT1G68320	0.17330828	0.194727465
1	AT1G68510	0	0.011181287
1	AT1G68520	156.1987883	244.0923675
1	AT1G68550	1.581968231	0.852216677
1	AT1G68640	0.122591342	0.388098602
1	AT1G68670	32.08549123	42.25266582
1	AT1G68800	0.460159533	0.42288169
1	AT1G68810	3.640266935	5.627949731
1	AT1G68840	10.89050614	16.74222239
1	AT1G68880	0.292060446	0.020306465
1	AT1G68920	4.351231106	3.47021342
1	AT1G69010	19.96189939	11.9266065
1	AT1G69120	0	0.041126558
1	AT1G69170	9.859449553	5.216741689
1	AT1G69310	8.641373801	3.808740557
1	AT1G69490	87.0145028	9.142149784
1	AT1G69540	0.223840794	0.579888803
1	AT1G69570	5.354077663	1.537491272
1	AT1G69580	2.745375201	3.78336613
1	AT1G69600	0.383462789	0
1	AT1G69690	8.251076791	19.01640779
1	AT1G69780	9.738217491	7.512637046
1	AT1G69810	1.074944435	0.126331687
1	AT1G70000	19.05607845	2.825944456
1	AT1G70510	0	0.080788752
1	AT1G70920	0.075175325	0.750616373
1	AT1G71030	191.9392554	80.69446599
1	AT1G71130	19.60034144	23.73656258
1	AT1G71200	0.255711995	0.380193674
1	AT1G71260	34.77600843	23.20224527
1	AT1G71450	0	0.389182939
1	AT1G71520	0.254285361	0.088925444
1	AT1G71930	0.677169333	0.688130643
1	AT1G72010	31.78828045	29.97454265
1	AT1G72050	11.27481501	6.313594634
1	AT1G72210	0.336472733	1.444811024
1	AT1G72360	1.063679383	1.533033697
1	AT1G72650	12.01828614	7.406587195
1	AT1G72740	11.61355057	9.469341814
1	AT1G72830	5.673189196	1.463921181
1	AT1G72980	0.039575901	0
1	AT1G73360	0.32533772	0.542871337
1	AT1G73410	0.036611892	0.054816656
1	AT1G73730	12.05170704	7.569247145
1	AT1G73830	3.774471502	0.697658568
1	AT1G73870	66.01911809	11.20948957
1	AT1G74080	0.047766991	0.028530228
1	AT1G74250	18.9109091	16.66235885
1	AT1G74430	4.508896533	7.486117915
1	AT1G74480	0.070160237	0.108053152
1	AT1G74650	0.730542218	0.870356883
1	AT1G74660	0.364099392	1.505528269
1	AT1G74840	24.86899153	29.85301798
1	AT1G74930	12.23457543	57.32675039
1	AT1G75080	8.005851152	8.920412247
1	AT1G75240	0.96974351	1.084771432
1	AT1G75250	6.82070774	3.835388592
1	AT1G75340	8.865399191	5.505600791
1	AT1G75390	2.985751243	4.016308535
1	AT1G75410	28.55751942	14.44260866
1	AT1G75430	0.031103685	0.041964099
1	AT1G75490	1.201049411	0.354237751
1	AT1G75520	0.058169749	0.090721309
1	AT1G75540	22.66287375	15.50222162
1	AT1G75710	5.080497154	6.965700714
1	AT1G76320	4.695326593	3.509082372
1	AT1G76350	9.786624269	9.128015074
1	AT1G76420	0.013607862	0.0755912
1	AT1G76580	9.886603068	18.92932939
1	AT1G76870	2.507319473	3.227584115
1	AT1G76880	2.443250603	2.477363752
1	AT1G76890	3.114986718	3.2920958
1	AT1G77080	12.07504601	8.550793125
1	AT1G77200	0.063251627	0.214309562
1	AT1G77450	24.65726278	7.800515572
1	AT1G77570	3.547114003	1.810281546
1	AT1G77640	0.659404756	11.8120383
1	AT1G77850	9.213939719	7.252622217
1	AT1G77920	30.67031235	26.09993455
1	AT1G77980	0	0.010746122
1	AT1G78080	89.88533205	108.2121912
1	AT1G78540	2.96046332	2.04620855
1	AT1G78600	24.66273718	25.8354838
1	AT1G78700	10.91383268	16.33553817
1	AT1G79180	0.309995345	0.333564785
1	AT1G79430	13.42654298	14.77794442
1	AT1G79580	0.007208904	0.026484461
1	AT1G79700	0.271780146	0.978492833
1	AT1G79840	0.285544026	0.25424559
1	AT1G80010	15.08249679	8.709067527
1	AT1G80590	0.023225687	0
1	AT1G80730	0.016241167	0.041253268
1	AT1G80840	9.621058806	131.2782057
2	AT2G01060	13.85134738	11.0988866
2	AT2G01430	0.039719291	0.206507874
2	AT2G01570	24.79975087	38.48608848
2	AT2G01760	5.971475824	10.86761666
2	AT2G01930	2.988569665	5.376089851
2	AT2G01940	0.468854672	0.462991038
2	AT2G02060	1.198360509	3.229716572
2	AT2G02070	21.03158136	48.41515988
2	AT2G02080	10.6630672	13.32039553
2	AT2G02450	3.315109344	14.91555998
2	AT2G02540	0.176900025	0.492189973
2	AT2G02740	5.469148416	4.460144775
2	AT2G02820	1.952210977	3.184633684
2	AT2G03060	2.524875633	3.135216147
2	AT2G03340	14.69859559	25.35377473
2	AT2G03500	2.46405223	6.501782667
2	AT2G03710	4.233541462	8.190966109
2	AT2G04038	0.095630046	0.051527211
2	AT2G04880	8.98424788	10.25616868
2	AT2G04890	7.461740294	9.142879953
2	AT2G06020	0	0.016249654
2	AT2G06200	0.017228302	0.171509691
2	AT2G13570	0.769449143	1.733985231
2	AT2G13960	0.22652871	0.549558827
2	AT2G14210	1.048393853	0.107761916
2	AT2G16400	16.17656905	23.30428448
2	AT2G16485	7.985621121	8.756305437
2	AT2G16720	5.703351726	2.273845345
2	AT2G16770	3.938622989	4.8605422
2	AT2G16910	0.065740496	0.128485957
2	AT2G17040	26.94657142	97.54076413
2	AT2G17150	2.47931776	2.364372948
2	AT2G17770	0	0.065207484
2	AT2G18060	0.198020629	0.496963702
2	AT2G18120	1.785762261	1.496169949
2	AT2G18300	15.37297839	29.47672492
2	AT2G18328	43.468304	169.7125614
2	AT2G18350	3.848292724	8.886292991
2	AT2G18380	1.263519167	1.956233446
2	AT2G18550	0.074406275	0.061142261
2	AT2G19810	5.954962193	14.54466652
2	AT2G20110	0.280958005	0.302640249
2	AT2G20180	5.163746919	3.983174484
2	AT2G20280	29.8228653	27.5878586
2	AT2G20400	4.291405861	4.640621493
2	AT2G20570	29.85134524	81.68425769
2	AT2G20880	0.788772564	7.101774159
2	AT2G21230	3.487640828	4.598314622
2	AT2G21240	12.61997901	17.64196267
2	AT2G21320	38.20961638	11.8176068
2	AT2G21400	0	0.041157925
2	AT2G21900	0.213677482	0
2	AT2G22200	1.332903437	1.480357549
2	AT2G22300	9.833995667	15.72051801
2	AT2G22430	109.1788237	246.5976414
2	AT2G22540	30.44733971	44.12663957
2	AT2G22630	0.162678549	0.139140446
2	AT2G22760	0.040468712	0.011050855
2	AT2G22770	0.293847026	0.446669867
2	AT2G22800	1.78996158	3.04517915
2	AT2G22840	4.186037302	5.323254105
2	AT2G22850	1.493703743	1.15278294
2	AT2G23290	4.133629426	36.02923819
2	AT2G23320	6.183499783	20.69468485
2	AT2G23340	4.719936268	25.91140661
2	AT2G23660	0	0.005406982
2	AT2G23760	3.81406844	10.10787215
2	AT2G24260	4.0227926	5.13209505
2	AT2G24430	0.007943858	0.006507726
2	AT2G24570	4.424899089	13.21486816
2	AT2G24645	3.064344856	7.012450244
2	AT2G24650	6.969624455	7.484540974
2	AT2G24680	0.174991816	0.271311849
2	AT2G24681	0	0.06287184
2	AT2G24690	5.388582647	6.918320944
2	AT2G24700	0.102730533	0.134650199
2	AT2G24790	78.54724475	126.3925734
2	AT2G24830	8.651964481	9.878284017
2	AT2G25000	22.2748522	4.583332784
2	AT2G25180	8.127452066	8.316785639
2	AT2G25650	10.19301877	10.39695526
2	AT2G25820	0.802240902	0.364864697
2	AT2G25900	22.21413465	21.78441967
2	AT2G26150	0.470251611	0.202727887
2	AT2G26580	3.461665051	8.123007201
2	AT2G26940	0.017448409	0.072993675
2	AT2G26960	0.012796721	0.050759222
2	AT2G27050	23.53804344	37.44382401
2	AT2G27110	2.289431961	2.788482828
2	AT2G27220	0	0.06883903
2	AT2G27300	0.22919546	0.442001472
2	AT2G27470	4.407757424	4.567618619
2	AT2G27990	0.513549148	0.892357541
2	AT2G28160	1.647400803	1.409515098
2	AT2G28200	8.08853027	2.648842439
2	AT2G28340	0	0.061653324
2	AT2G28350	5.86653187	5.40310981
2	AT2G28450	2.187308545	2.971216906
2	AT2G28500	0.614073567	10.52240989
2	AT2G28510	9.279057581	15.91971315
2	AT2G28550	10.68108704	10.68979302
2	AT2G28700	0	0.010952026
2	AT2G28710	0.66121073	1.201189531
2	AT2G28810	10.38544285	16.04151653
2	AT2G29060	0	0.006781293
2	AT2G29065	1.252262073	1.266156685
2	AT2G29660	0.984690024	1.655977832
2	AT2G30250	27.54546912	23.19440421
2	AT2G30340	0	0.013188184
2	AT2G30420	0.288768483	3.115784028
2	AT2G30424	3.163116749	9.957244878
2	AT2G30432	0.435451586	6.532211421
2	AT2G30470	7.382819472	6.600894505
2	AT2G30590	8.408735149	12.81069393
2	AT2G31070	22.70711615	25.97811728
2	AT2G31180	0.078678405	0
2	AT2G31210	0.028299263	0.02608775
2	AT2G31220	0.070821825	0.117963587
2	AT2G31230	22.3845397	5.857001054
2	AT2G31280	2.747800348	3.308559044
2	AT2G31370	3.840308317	4.505757627
2	AT2G31380	77.37344514	11.23785362
2	AT2G31730	3.436485441	4.091317369
2	AT2G32250	0.908499882	1.289145387
2	AT2G32460	0.004629444	0
2	AT2G32930	1.090843257	3.241430184
2	AT2G33480	13.21074779	9.879298291
2	AT2G33500	3.18047959	4.101264323
2	AT2G33550	10.66016901	12.72797204
2	AT2G33710	0.364403645	0.399541809
2	AT2G33720	0.012134959	0.021762507
2	AT2G33810	1.612720566	2.365516536
2	AT2G33835	4.20970723	5.056939708
2	AT2G33860	11.49120313	14.03929239
2	AT2G34140	0.313580725	0.486731818
2	AT2G34440	1.455374314	0.809925528
2	AT2G34710	6.740148799	7.516484935
2	AT2G34720	35.33561703	17.66055845
2	AT2G34830	0.035048027	0.213863783
2	AT2G35310	0	0.012813043
2	AT2G35430	2.863478898	3.043652027
2	AT2G35530	6.751860541	6.700695786
2	AT2G35550	0.353472297	0.631896255
2	AT2G35640	0.743987229	2.825426411
2	AT2G35700	0.756876661	0.720388811
2	AT2G35940	17.10896251	11.49901141
2	AT2G36010	0.323137065	0.559087526
2	AT2G36080	4.518998528	1.504350744
2	AT2G36270	0.10103379	0.474537834
2	AT2G36340	4.634410104	5.400438628
2	AT2G36400	2.093747574	3.346007356
2	AT2G36450	0	0.159158776
2	AT2G36890	1.213460157	0
2	AT2G36960	1.540423353	2.16591774
2	AT2G37000	0	0.053161488
2	AT2G37060	0.878369905	0.815028955
2	AT2G37120	12.66493394	20.24749532
2	AT2G37260	0.085884743	0.297842841
2	AT2G37430	0.070867541	0.45283261
2	AT2G37590	1.418085182	1.365438576
2	AT2G37630	9.114800501	16.31802127
2	AT2G37650	4.813525611	4.626565369
2	AT2G37740	0.017971352	0
2	AT2G38090	0.666368969	1.423497695
2	AT2G38250	2.08600398	2.828248105
2	AT2G38300	1.39491009	3.497357165
2	AT2G38340	1.259975951	0.178316106
2	AT2G38470	25.29798767	189.7251234
2	AT2G38880	1.48268437	1.687445065
2	AT2G39250	11.67210417	22.75682149
2	AT2G39880	1.120253039	2.032970194
2	AT2G40140	10.17319802	43.0786463
2	AT2G40200	1.819493779	0.54362078
2	AT2G40260	1.895116766	1.628550978
2	AT2G40340	1.341508662	5.024175901
2	AT2G40350	0	4.344615018
2	AT2G40470	0.119077147	0.120334591
2	AT2G40620	1.997459379	4.63193112
2	AT2G40740	0.249177529	0.117682426
2	AT2G40750	34.0950799	52.02681787
2	AT2G40950	10.85086609	8.525360679
2	AT2G40970	5.83243748	13.05429577
2	AT2G41070	0.399489212	0.676653209
2	AT2G41130	1.023441537	2.761847249
2	AT2G41240	76.97109696	0.662761108
2	AT2G41690	0	0.056685947
2	AT2G41710	5.892797775	6.2217573
2	AT2G41835	4.704468901	5.221182725
2	AT2G41900	40.93710137	35.350036
2	AT2G41940	34.13883822	24.1802071
2	AT2G42150	0.165109851	0.237550198
2	AT2G42200	3.31381136	10.57140515
2	AT2G42280	4.710402503	2.866536668
2	AT2G42300	5.45667409	7.406381709
2	AT2G42380	1.347122673	6.20494007
2	AT2G42400	10.4621896	9.952254681
2	AT2G42830	0.04210075	0.048063339
2	AT2G43000	3.820357779	0.546699673
2	AT2G43010	22.56415498	47.82512449
2	AT2G43140	0.436933245	0.019592711
2	AT2G43280	9.421442053	11.20339002
2	AT2G43500	3.523094287	2.671935149
2	AT2G44430	3.914810619	9.026536568
2	AT2G44730	9.144773516	13.32896173
2	AT2G44745	0.798756798	0.394784976
2	AT2G44840	0.133526565	6.68167455
2	AT2G44910	0.270468616	0.150388916
2	AT2G44940	8.939596443	10.412513
2	AT2G45050	0.308785374	0.982690524
2	AT2G45120	0.863963826	0.760389737
2	AT2G45160	16.96163732	11.39428098
2	AT2G45190	8.225888734	9.123788121
2	AT2G45420	0.067977736	0.154649052
2	AT2G45480	0.09871752	0.098920074
2	AT2G45650	0.070023884	0.264497329
2	AT2G45660	77.12515095	123.2403138
2	AT2G45680	1.792485864	1.600984764
2	AT2G45880	5.118597002	5.624535119
2	AT2G46270	5.153863891	1.548411064
2	AT2G46310	1.512626152	0.792180899
2	AT2G46400	18.53044951	40.74981315
2	AT2G46410	0.541248923	1.319489892
2	AT2G46510	11.40853531	25.3729037
2	AT2G46530	0.567597293	3.493086784
2	AT2G46590	1.750272205	2.144915899
2	AT2G46680	23.31287257	6.406972389
2	AT2G46770	0.023797086	0.009747462
2	AT2G46810	3.483921116	4.485188822
2	AT2G46830	33.28787472	2.942931025
2	AT2G46870	5.346187483	7.913602694
2	AT2G46970	0.291083587	0.419670379
2	AT2G47070	41.39067611	64.11637751
2	AT2G47190	7.71206202	1.609843843
2	AT2G47210	14.26640761	16.69576595
2	AT2G47260	1.358580083	4.379517616
2	AT2G47460	0.042335186	0.190297834
2	AT2G47520	0.144243743	0.520506263
2	AT2G47850	2.679375896	5.160447396
2	AT2G47890	5.420357714	24.62483891
3	AT3G01080	2.674899668	1.080823446
3	AT3G01140	0.259980375	0.265122044
3	AT3G01220	0.064957054	0.683697325
3	AT3G01330	0.575774472	1.123430899
3	AT3G01470	57.51370999	46.63598708
3	AT3G01600	0.194779147	0.296976754
3	AT3G01970	20.44824204	4.259975537
3	AT3G02150	7.492550636	7.139088251
3	AT3G02310	0.275893116	0.156210618
3	AT3G02380	57.17681898	6.527702177
3	AT3G02550	4.475776507	1.408610091
3	AT3G02830	85.99363416	75.447301
3	AT3G02990	1.416834796	2.388420691
3	AT3G03200	0.343712237	0.585727064
3	AT3G03260	0.012812861	0.569896606
3	AT3G03450	2.370743814	0.819471204
3	AT3G03660	0.028798225	0
3	AT3G04030	4.439192871	5.899374696
3	AT3G04060	3.492125405	8.375216891
3	AT3G04070	2.424151111	0.830116068
3	AT3G04420	0.372308076	0.428717231
3	AT3G04450	2.626232632	2.432053797
3	AT3G04670	4.703902762	3.927846525
3	AT3G04850	0.331717021	0.631819963
3	AT3G04930	9.46174202	13.50763115
3	AT3G05690	15.13043319	3.93049944
3	AT3G06120	0	0.079102378
3	AT3G06160	0.453211041	3.214117016
3	AT3G06220	0.043522637	0.018632078
3	AT3G06250	5.149499231	5.200881762
3	AT3G06410	8.943011744	16.27025508
3	AT3G06490	0.231436084	0.116320287
3	AT3G06590	5.917811543	10.81626806
3	AT3G06740	4.047587528	7.35713413
3	AT3G07340	3.991723985	9.850140292
3	AT3G07500	4.035578091	5.599076764
3	AT3G07650	0.676386682	16.0835242
3	AT3G08500	0.221389057	0.388954814
3	AT3G08505	4.387816172	4.361392685
3	AT3G09230	2.206067665	3.499232465
3	AT3G09370	2.165941221	2.530176782
3	AT3G09600	21.13535442	0.685709691
3	AT3G09735	42.94648798	41.41321185
3	AT3G10030	4.073842157	5.294751643
3	AT3G10040	1.127777178	1.08697832
3	AT3G10113	0.045984121	0.055772856
3	AT3G10470	0.061821737	0.052324862
3	AT3G10480	3.564726726	4.308459677
3	AT3G10490	6.107953078	6.616322693
3	AT3G10500	12.91463952	9.342637112
3	AT3G10580	0.008790567	0
3	AT3G10590	0.195821811	0.13256978
3	AT3G10760	16.66807969	15.20660211
3	AT3G10800	13.28797958	17.91382601
